"","V1","V2","V3","V4"
"1",-4,272,-264,189.24
"2",-2.60494610019023,52.8320683277503,-75.9158836057172,80.3429948985274
"3",-1.66004874228618,10.3499850726263,-21.6188933028246,33.1170834304478
"4",-1.00724689310679,2.04385050597039,-6.10208823536512,13.0058593723512
"5",-0.538066959611783,0.373335597985545,-1.69925000886529,4.86851228477627
"6",-0.189038363303458,0.0370125289608513,-0.40509825045181,2.24197999764126
"7",-0.00835064491256898,6.97381331848227e-05,-0.0167036190962586,2.03081602535039
"8",-0.000125567462051682,1.57671877747047e-08,-0.000251134932022746,2.03984950825179
"9",-2.45302100746153e-06,6.01731206308378e-12,-4.9060420149821e-06,2.039997056447
"10",-4.80949809863712e-08,2.31312719607941e-15,-9.61899619727427e-08,2.03999994228605
